row.names	lon	lat	rate
USA/MA1/2020	-71.0582912	42.3602534	31.571974697809
USA/AK-PHL011/2020	17.7736243	62.9217072	14.7730318221358
USA/CT-Yale-375/2020	-75.662956	39.6159851	73.0334216336493
USA/AZ1/2020	-112.49123	33.34883	18.9161569214262
USA/WA1/2020	-121.7304882	48.0074736	21.7475618983424
USA/WA-S90/2020	-118.7671122	45.6416995	128.167120984826
Mexico/DUR-InDRE-09/2020	-98.3606472	20.0807903	134.99093595666
USA/IL-NM070/2020	-87.6244212	41.8755616	NA
USA/IL-NM069/2020	-87.6244212	41.8755616	21.6685109276224
USA/PA-MGEL-00210/2020	-79.9760405	40.4597204	101.409479401984
USA/SC-DHEC-0001/2020	-78.0395522	39.4535243	80.3589361098516
USA/TX-HMH-1164/2020	-95.3963667	29.939219	58.7836629737104
Panama/329593/2020	-79.8740897150963	8.98018465	121.140205435908
Panama/333271/2020	-101.365622832485	20.54810825	40.380068478636
CostaRica/INC-0223/2021	-40.873577	-3.7357783	0
CostaRica/INC-0218/2021	-120.2422615	35.9776891	25.3246832263054
CostaRica/INC-0228/2021	-76.298009	40.1601526	0
Panama/334102/2020	-78.0233249816648	9.22237675	57.6602385830372
USA/MO-WUSTL037/2020	-90.2411165602464	38.6529545	50.5753324954183
Canada/ON-S1900/2020	-79.3839347	43.6534817	0
Canada/ON-SB-09/2020	-79.3839347	43.6534817	495.53729248129
Canada/ON-SB-12/2020	-79.3839347	43.6534817	463.846890427523
Canada/ON-SB-11/2020	-79.3839347	43.6534817	29.5248937084156
Canada/ON-LTRI-1352/2020	-79.3839347	43.6534817	37.199300345781
Canada/ON-S2032/2020	-79.3839347	43.6534817	0
Canada/ON-S2177/2021	-79.3839347	43.6534817	NA
USA/PA-MGEL137/2020	-79.9760405	40.4597204	24.4362629403354
Canada/ON-S2018/2020	-79.3839347	43.6534817	26.341307403808
USA/NJ-MSHSPSP-PV12390/2020	-74.3045277	40.6652251	36.3789916383606
USA/WI-UW-3112/2021	-89.4322174	43.0709273	12.354244219014
USA/NY-NYCPHL-001140/2020	-74.0060152	40.7127281	63.3779605883784
USA/WI-UW-1099/2020	-89.4322174	43.0709273	104.620612649683
USA/NY-Wadsworth-222415-01/2020	-74.0445387688218	42.831851	53.8992964711323
USA/IA-GMF-16267/2020	-91.850265	42.8420766	10.0943393881029
USA/IA-GMF-18509/2020	-91.8563139	43.2677179	11.5832626580562
USA/MO-WUSTL036/2020	-90.2411165602464	38.6529545	24.9497151733223
USA/AK-PHL6643/2020	-149.680909	64.4459613	0
USA/NY-NYCPHL-001160/2020	-74.0060152	40.7127281	0
USA/NY-Wadsworth-10935-01/2020	-73.7907554	41.1763139	NA
USA/NY-NYCPHL-000473/2020	-74.0060152	40.7127281	NA
USA/OR-OHSU-0045/2020	-122.4006413	45.5093799	3.93172529768533
USA/CT-Yale-275/2020	-72.9330283	41.4082	26.1918369695484
USA/IL-IDPH-C-000411/2020	-89.3760499	38.0772859	33.2912454311511
Mexico/SON-InDRE-99/2020	-112.608001143894	30.8974875	29.0645559810951
USA/CT-MSHSPSP-PV15299/2020	-72.9330283	41.4082	21.2083705047864
